epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.63299,1.6575,4.1348,1.5366,0.00361,0.75,0.15074,0.11477,0.82393,3.3805,1.11914,8.75e-05,8.75e-05,8.75e-05
2,2.77121,0.75708,3.0784,0.97675,0.00475,0.75,0.35209,0.26487,1.02342,3.0968,1.19182,0.000183787,0.000183787,0.000183787
3,3.93131,0.78099,2.23766,0.94648,0.00559,1,0.39432,0.33548,0.78533,2.75249,1.13357,0.000276115,0.000276115,0.000276115
4,5.09714,0.70169,1.90594,0.92283,0.00579,1,0.54191,0.45789,0.6906,2.83344,1.04675,0.000364482,0.000364482,0.000364482
5,6.23771,0.65487,1.79823,0.91965,0.51761,0.5,0.64211,0.55196,0.50311,2.71697,0.92711,0.00044889,0.00044889,0.00044889
6,7.38379,0.68014,1.55333,0.93738,0.92371,0.39526,0.87373,0.68004,0.62375,2.16187,0.9704,0.000529338,0.000529338,0.000529338
7,8.51717,0.6506,1.34606,0.91825,0.97393,0.56036,0.9573,0.73871,0.65162,1.73565,0.99972,0.000605825,0.000605825,0.000605825
8,9.63225,0.65911,1.18036,0.91244,0.94321,0.75,0.995,0.82479,0.73377,1.30723,1.02935,0.000678352,0.000678352,0.000678352
9,10.7602,0.63751,1.13901,0.90115,0.97341,0.75,0.995,0.87421,0.78233,1.36501,0.98772,0.00074692,0.00074692,0.00074692
10,11.877,0.60623,1.1714,0.90041,0.94154,0.75,0.995,0.7767,0.92324,1.33243,0.99164,0.000811528,0.000811528,0.000811528
11,12.9986,0.59919,1.09259,0.9087,0.96551,0.75,0.995,0.81725,0.75078,1.11489,0.96726,0.000872175,0.000872175,0.000872175
12,14.1139,0.65042,1.06278,0.89829,0.98534,0.75,0.995,0.83331,0.79453,1.14161,0.97371,0.000928863,0.000928863,0.000928863
13,15.2148,0.62305,1.03433,0.89277,0.93163,1,0.995,0.84365,0.66523,1.04903,0.94648,0.000953,0.000953,0.000953
14,16.3327,0.63768,0.9831,0.90062,0.93208,1,0.995,0.80892,0.78042,1.08755,0.9889,0.00092825,0.00092825,0.00092825
15,17.4477,0.65965,1.02433,0.907,0.93863,1,0.995,0.85801,0.69739,1.03639,0.94502,0.0009035,0.0009035,0.0009035
16,18.5747,0.58883,0.94879,0.90405,0.96238,1,0.995,0.84848,0.66179,0.87225,0.93191,0.00087875,0.00087875,0.00087875
17,19.7037,0.58636,0.9432,0.89821,0.94894,1,0.995,0.89118,0.45693,0.91399,0.91936,0.000854,0.000854,0.000854
18,20.8313,0.60203,0.93931,0.8929,0.82689,1,0.94982,0.82793,0.55897,1.11634,0.92218,0.00082925,0.00082925,0.00082925
19,21.9384,0.54312,0.8847,0.90011,0.98662,1,0.995,0.90081,0.46161,0.82766,0.90053,0.0008045,0.0008045,0.0008045
20,23.0698,0.58067,0.84336,0.88562,0.98654,1,0.995,0.875,0.58772,0.84854,0.91562,0.00077975,0.00077975,0.00077975
21,24.1955,0.55482,0.82899,0.90448,0.88903,1,0.995,0.86794,0.66823,0.84202,0.92216,0.000755,0.000755,0.000755
22,25.3188,0.57511,0.87002,0.88867,0.84461,1,0.995,0.90133,0.5755,0.81456,0.91967,0.00073025,0.00073025,0.00073025
23,26.4374,0.58748,0.86369,0.8996,0.99189,1,0.995,0.87314,0.59206,0.70796,0.93318,0.0007055,0.0007055,0.0007055
24,27.5439,0.55804,0.78593,0.8688,0.9849,1,0.995,0.85778,0.70311,0.70932,0.94307,0.00068075,0.00068075,0.00068075
25,28.6667,0.53478,0.74583,0.86648,0.99189,1,0.995,0.87448,0.75414,0.71226,0.94975,0.000656,0.000656,0.000656
26,29.7716,0.50499,0.77841,0.89153,0.99309,1,0.995,0.87974,0.68064,0.70195,0.93627,0.00063125,0.00063125,0.00063125
27,30.8857,0.52852,0.75951,0.8797,0.98985,1,0.995,0.87389,0.65122,0.72638,0.92591,0.0006065,0.0006065,0.0006065
28,31.994,0.48903,0.74274,0.8893,0.9861,1,0.995,0.88813,0.6729,0.5986,0.92312,0.00058175,0.00058175,0.00058175
29,33.1077,0.53524,0.76037,0.91763,0.98473,1,0.995,0.88369,0.71864,0.59597,0.94318,0.000557,0.000557,0.000557
30,34.2196,0.51052,0.69384,0.89376,0.98127,1,0.995,0.90024,0.73302,0.59324,0.93823,0.00053225,0.00053225,0.00053225
31,35.3472,0.53872,0.69926,0.88668,0.9747,1,0.995,0.89417,0.64501,0.60388,0.91028,0.0005075,0.0005075,0.0005075
32,36.4631,0.46115,0.71538,0.86452,0.97877,1,0.995,0.89583,0.63369,0.57962,0.91064,0.00048275,0.00048275,0.00048275
33,37.5751,0.54071,0.66183,0.88755,0.98764,1,0.995,0.89829,0.63896,0.53462,0.91649,0.000458,0.000458,0.000458
34,38.6909,0.50675,0.6778,0.89109,0.98612,1,0.995,0.92509,0.55047,0.57966,0.9039,0.00043325,0.00043325,0.00043325
35,40.0031,0.4659,0.64239,0.88192,0.97824,1,0.995,0.92546,0.51409,0.53759,0.89524,0.0004085,0.0004085,0.0004085
36,41.1242,0.48886,0.64828,0.87039,0.98116,1,0.995,0.92196,0.49083,0.49785,0.89537,0.00038375,0.00038375,0.00038375
37,42.2474,0.49026,0.64424,0.87757,0.98947,1,0.995,0.93752,0.44159,0.48515,0.88906,0.000359,0.000359,0.000359
38,43.4343,0.47922,0.61497,0.85601,0.99134,1,0.995,0.92722,0.50559,0.46679,0.89112,0.00033425,0.00033425,0.00033425
39,44.5424,0.44155,0.62749,0.85988,0.98534,1,0.995,0.9391,0.51162,0.4412,0.89068,0.0003095,0.0003095,0.0003095
40,45.6485,0.48732,0.64171,0.88377,0.97556,1,0.995,0.92251,0.49586,0.45862,0.88938,0.00028475,0.00028475,0.00028475
41,47.1346,0.44613,0.78858,0.86465,0.97942,1,0.995,0.91229,0.51585,0.55178,0.89027,0.00026,0.00026,0.00026
42,48.2342,0.43983,0.77188,0.86373,0.98699,1,0.995,0.91343,0.51483,0.55463,0.89041,0.00023525,0.00023525,0.00023525
43,49.3234,0.48116,0.73193,0.82412,0.98864,1,0.995,0.91879,0.51066,0.49666,0.88881,0.0002105,0.0002105,0.0002105
44,50.4143,0.44955,0.68322,0.84609,0.98609,1,0.995,0.92084,0.51208,0.47782,0.88771,0.00018575,0.00018575,0.00018575
45,51.5111,0.43344,0.7273,0.83417,0.98511,1,0.995,0.9133,0.52777,0.48808,0.89023,0.000161,0.000161,0.000161
46,52.6004,0.42236,0.69148,0.8405,0.98602,1,0.995,0.9233,0.51524,0.48657,0.88959,0.00013625,0.00013625,0.00013625
47,53.6822,0.42618,0.6814,0.84367,0.9885,1,0.995,0.92925,0.47122,0.48388,0.88574,0.0001115,0.0001115,0.0001115
48,54.7643,0.36765,0.67996,0.84723,0.98967,1,0.995,0.93374,0.45688,0.46285,0.88402,8.675e-05,8.675e-05,8.675e-05
49,55.8591,0.42134,0.67738,0.8489,0.98964,1,0.995,0.9389,0.44611,0.42893,0.88327,6.2e-05,6.2e-05,6.2e-05
50,56.9366,0.3948,0.65589,0.81194,0.98971,1,0.995,0.94466,0.42797,0.40568,0.88287,3.725e-05,3.725e-05,3.725e-05
